,emotion,text
0,anger,fuckin'm transtelecom
1,anger,Working   But it's Fridaaaayyyyy
2,anger,Packing  I don't like it..
3,anger,I tried to dye my hair and all i got was a blond chunk in the front middle part of my hair. Dang.
4,anger,&quot;locked up abroad&quot; makes bein half brown good risk mgmt when travelin 3rd world. i blend. i feel sorry for my hostage magnet white pepo
5,anger,@LouGagliardi  damned hordies
6,anger,"@bcollinstattoo yes, boo for soar throats and earaches!"
7,anger,My stomach is all EXPLODE from the wendys  why is everything that tastes good bad for you?
8,anger,"@rmilana Hey, Wahts happening in #coffeclub..? I didnt have coffee for two days now  @dharshana"
9,anger,"Did a historical Jesus ever exist? Im finding it hard to prove, its all hearsay accounts ... it bugs me ..."
10,anger,lost all my files since high school.
11,anger,"i hav a chance to win $10, $100, $1000.  i was given a free can of $ plant..have to wait till the plant grow to know if i won anythin!!?!"
12,anger,i never knew a dentention was so hard 2 get
13,anger,@drakesizzle  If you don't want to come then don't come. JEEEEEZ.
14,anger,@_supernatural_ more Demon Sam!! I need it to numb the pain  xXx
15,anger,"@LeahMul awh, thats not good,   get better soon!"
16,anger,stuck in stupid Jeuno with flag up.  Wish I was in Windy fishing
17,anger,@mikeavila ack! I just read about your show  that's horrible!!! No accounting for taste.
18,anger,"@Greenwichlad Oh let me clarify,know lots of nice people who live there, but thought it always was a breeding ground 4 BNP"
19,anger,Confuzzled
20,anger,The toaster oven was my fault. Now I'm going to look like an idiot in front of my father.
21,anger,@eboogiee smh Your whin with that comment
22,anger,@_hayles are u serious???? you touched his arse? ohmygod u bitch!!! lol aaaaawwwwwww y did u tell me that!!!
23,anger,@mashable Link to ff &quot;how it works&quot; is broke!
24,anger,aaaaaaaaaaa McFly
25,anger,Shout out to my moms for wakin me up so prematurely! Preciate it
26,anger,Stupid red hair is too difficult on the upkeep. Re-dyed it a more manageable brown-red. Boo
27,anger,has a VERY arduous task to accomplish at work...stuff that should have already been done &amp; as usual it hasn't. Not because of me either.
28,anger,"@wmdev Every time I succeed with a code, I get &quot;We're Sorry. Your Credit Card Has Been Declined at this time.&quot;"
29,anger,@jamie_oliver  I was off by one year. I really wanted some of Jamies cooking books in ENGLISH!!!! not German.
30,anger,@aranarose Murphy's Law?  Sorry that your computer is not cooperating when you have lots of work. My kids are .. http://tinyurl.com/km235x
31,anger,@BigCatJared   What did I do to you!  sheesh
32,anger,studying for this bullshit econ test
33,anger,Internet is painfully slow today
34,anger,@cindaxo the straightener's another 110 pounds though. Seems pricey
35,anger,MOtherfuck QW
36,anger,No gas PLUS no money = Desperation!!!   and that's the word of the day!  http://twitpic.com/66zls
37,anger,Very bad things.......I need to stop thinking!
38,anger,@anz_rocks19  i have to break the twitterparty... im off home soon
39,anger,@msaysrawr *points at the gear question I just posted* I cant get the rest of my Dreadweave set
40,anger,The &quot;Catch Me If You Can&quot; DVD that I rented from Blockbuster.com yesterday was cracked. Figured it out about 35 minutes into the movie.
41,anger,"It's so annoying when I want to go see The Sats, @OfficialJoBros and @ddlovato in concert..but I know I'LL Have to pay"
42,anger,i hella wanted a sausage mcmuffin but when i gt there breakfast was over
43,anger,#twitterfails fucking hard right now...this is annoying
44,anger,im writing an exam on a SATURDAY  that should be illegal  where's my weekend?
45,anger,@egheitasean Which denomination? I'm at the library and everything's blocked.
46,anger,bout to go to work with a wicked sunburn on the chest.
47,anger,"Wow, I'm really bored... and pissed I left my library card when I had to take the Booky Wook back..."
